socialClass; priority; socialStatus; stamina; hunger; leisure; extraversion; agreableness; conscientiouness; emotionalStability; opennesExp; actualState
HIGH; SELF; MARRIED; 1; 1; 0; 0,08330953; 0,91058147; 0,27936745; 0,66478837; Investigation
HIGH; SELF; MARRIED; 1; 1; 0; 0,8047385; 0,8688286; 0,11356026; 0,14276737; Interact
HIGH; SELF; MARRIED; 1; 1; 0; 0,017776847; 0,92141217; 0,63948154; 0,60178274; Investigation
HIGH; SELF; MARRIED; 1; 1; 0; 0,9278666; 0,5514332; 0,58421105; 0,5101133; Interact
HIGH; SELF; MARRIED; 1; 1; 0; 0,026467562; 0,8598967; 0,4313631; 0,66274196; Investigation
HIGH; SELF; MARRIED; 1; 1; 0; 0,44149858; 0,94301504; 0,5835348; 0,71038425; Investigation
HIGH; SELF; MARRIED; 1; 1; 0; 0,623488; 0,09003997; 0,9187274; 0,40155983; Interact
HIGH; SELF; MARRIED; 1; 1; 0; 0,31829387; 0,90102667; 0,92165637; 0,4854446; PatrolWalk
HIGH; SELF; MARRIED; 1; 1; 0; 0,7018993; 0,9616939; 0,31057817; 0,16772014; Interact
HIGH; SELF; MARRIED; 1; 1; 0; 0,7993883; 0,7114134; 0,39756846; 0,38448495; Interact
HIGH; SELF; MARRIED; 0,7000003; 0,7000003; 0,30000004; 0,737066; 0,556539; 0,4724983; 0,04880041; Interact
HIGH; SELF; MARRIED; 0,7000003; 0,7000003; 0,30000004; 0,082644224; 0,99955726; 0,2954927; 0,81934637; Investigation
HIGH; SELF; MARRIED; 0,7000003; 0,7000003; 0,30000004; 0,8635961; 0,23676062; 0,72861767; 0,4134335; Interact
HIGH; SELF; MARRIED; 0,7000003; 0,7000003; 0,30000004; 0,15063441; 0,24283206; 0,7199607; 0,98618245; Investigation
HIGH; SELF; MARRIED; 0,7000003; 0,7000003; 0,30000004; 0,3072937; 0,2546429; 0,3803419; 0,12844229; PatrolWalk
HIGH; SELF; MARRIED; 0,7000003; 0,7000003; 0,30000004; 0,79542035; 0,4123227; 0,76894796; 0,96400255; Investigation
HIGH; SELF; MARRIED; 0,7000003; 0,7000003; 0,30000004; 0,6241548; 0,19887781; 0,16803521; 0,58843607; Interact
HIGH; SELF; MARRIED; 0,7000003; 0,7000003; 0,30000004; 0,98142713; 0,56059706; 0,65229815; 0,9141903; Investigation
HIGH; SELF; MARRIED; 0,7000003; 0,7000003; 0,30000004; 0,46893483; 0,08620113; 0,9762473; 0,35928833; PatrolWalk
HIGH; SELF; MARRIED; 0,7000003; 0,7000003; 0,30000004; 0,7432667; 0,054378867; 0,33578384; 0,70970154; Investigation
HIGH; SELF; MARRIED; 0,4000004; 0,4000004; 0,6000001; 0,97708786; 0,7117487; 0,12386125; 0,8760629; Investigation
